# Czech abbreviations	
	
a j.	a jiné
a p.	a podobně
a podb.	a podobně
atd.	a tak ďalej
básn.	výraz básnický
č.	číslo
indik.	indikativ
komp.	komparativ
konjukt.	konjunktiv
konjunkt.	konjunktiv
koř.	kořen
n. př.	na přiklad
na př.	na přiklad
obyč.	obyčejně
přen.	přeneseně
přenes.	přeneseně
pův.	původní
sl.	slovo
sr.	srovnej
t. j.	to jest
t. zv.	tak zvaný
v.	viz nebo verbum (sloveso)
v. t.	viz také
vl.	vlastně
zvl.	zvláště
	
# Latin abbreviations	
	
subst.	substantivum
verb.	verbum
adj.	adjectivum
particip.	participium
adv.	adverbium
pron. poss.	pronomen possessivum 
sing.	singularis
singul.	singularis
plur.	pluralis
pl.	pluralis
fem.	femininus
f.	femininus
n.	neutrum
gen.	genetivus
dat.	dativus
acc.	accusativus
abl.	ablativus
abl. qual.	ablativus qualitatis
inf.	infinitivus
infin.	infinitivus
trans.	transitivus
intrans.	intransitivus
praes.	praesens
fut.	futurum
perf.	perfectum
pass.	passivum
superl.	superlativus
intens.	intensivus
sc.	scilicet
